shade_code,color_name,hex_code,L,a,b,lab_source
RAL 040 80 20,Madder Orange,#F1BEB0,81.11,16.29,14.06,hex
RAL 040 80 30,Nature Apricot,#FEB7A5,80.55,23.45,19.37,hex
RAL 040 85 05,Pandora Grey,#E3D4CF,85.97,4.32,4.33,hex
RAL 040 85 10,Fine Alabaster,#ECD3CB,86.37,7.38,7.12,hex
RAL 040 85 20,Delicate Sweet Apricot,#FDCDBD,86.12,14.63,14.37,hex
RAL 040 90 05,Sahara Light Red,#F0E1DB,90.55,4.10,4.77,hex
RAL 040 90 10,Delicate Rose,#F7E0D6,90.75,6.27,7.75,hex
RAL 040 93 05,Natural White,#FBEDE5,94.63,3.39,5.56,hex
RAL 050 20 10,Granite Brown,#3D2D24,20.03,5.84,8.66,hex
RAL 050 20 16,Night Brown,#44281B,19.33,11.49,13.99,hex
RAL 050 30 10,Obsidian Brown,#523E35,28.10,7.25,8.90,hex
RAL 050 30 20,Tropical Wood Brown,#603B2A,28.86,14.28,17.29,hex
RAL 050 30 30,Tobacco Brown,#6C3821,29.73,20.85,24.32,hex
RAL 050 30 36,Rosewood Brown,#72371C,30.39,23.79,28.25,hex
RAL 050 40 10,Mocha Black,#6F5B52,40.36,6.63,8.25,hex
RAL 050 40 20,Florentine Brown,#7A5544,39.67,13.08,16.04,hex
RAL 050 40 30,Curry Brown,#845038,39.46,19.21,23.25,hex
RAL 050 40 40,Madeira Brown,#8F4826,38.93,27.28,33.33,hex
RAL 050 40 50,Autumn Red,#99451F,39.80,32.75,38.41,hex
RAL 050 50 10,Teakwood Brown,#89756B,50.81,6.08,8.39,hex
RAL 050 50 20,Milk Coffee Brown,#966F5D,50.27,12.93,16.06,hex
RAL 050 50 30,Golden Brown,#A36A4F,50.29,19.73,24.49,hex
RAL 050 50 40,Copper-Metal Red,#AD6342,49.74,26.76,31.46,hex
RAL 050 50 50,Gold Varnish Brown,#B95E33,50.17,33.47,40.52,hex
RAL 050 50 60,Titian Red,#BD5620,48.99,38.44,48.66,hex
RAL 050 50 70,Poppy Red,#CD4D04,49.86,48.25,59.24,hex
RAL 050 50 78,Persian Orange,#D45814,52.98,45.98,57.86,hex
RAL 050 60 10,Ecru Ochre,#A48D83,60.41,6.98,8.53,hex
RAL 050 60 20,Caramel Brown,#B18775,59.85,13.50,15.89,hex
RAL 050 60 30,Medium Brown,#C28468,60.76,20.56,24.76,hex
RAL 050 60 40,Apricot Brown,#CC7E5B,60.35,26.71,31.68,hex
RAL 050 60 50,Orange Yellow,#D8794C,60.60,33.12,40.44,hex
RAL 050 60 60,Camel Red,#E5743B,61.19,39.93,50.20,hex
RAL 050 60 70,Carrot Orange,#E9672D,59.18,47.29,54.86,hex
RAL 050 60 80,Gerbera Red,#F6611A,60.09,54.29,63.68,hex
RAL 050 70 10,Bamboo Beige,#C1ABA0,71.56,6.14,8.57,hex
RAL 050 70 20,Amber Grey,#D0A592,71.14,13.08,15.88,hex
RAL 050 70 30,Sienna Ochre,#DE9F83,70.85,19.97,23.91,hex
RAL 050 70 40,Light Amber Orange,#ED9A76,71.16,27.25,31.68,hex
RAL 050 70 50,Melon Red,#F69268,70.28,33.82,38.27,hex
RAL 050 70 60,Mango Orange,#FF8B58,69.78,39.83,46.27,hex
RAL 050 80 10,Pale Sienna,#DFC7BC,81.93,6.65,8.58,hex
RAL 050 80 20,Soft Orange,#EEC0AB,81.19,13.44,16.81,hex
RAL 050 80 30,Pallid Orange,#FCB99D,80.65,20.72,23.74,hex
RAL 050 85 05,Ocean Sand,#E4D5CD,86.25,3.82,5.81,hex
RAL 050 85 10,Pure Beige,#E9D0C4,85.21,6.78,9.13,hex
RAL 050 85 20,Biscuit Cream,#F9CCB7,85.38,12.86,16.45,hex
RAL 050 90 05,Eggshell White,#F3E4DC,91.55,3.76,5.73,hex
RAL 050 90 10,Light Peach Rose,#FFE6D8,92.93,6.32,9.92,hex
RAL 050 93 05,Tulle White,#FBEDE5,94.63,3.39,5.56,hex
RAL 060 20 05,Industrial Black,#322B26,18.12,2.18,4.43,hex
RAL 060 30 05,Vehicle Body Grey,#4C433D,29.13,2.67,5.04,hex
RAL 060 30 10,Nutria Fur Brown,#514035,28.57,5.51,9.53,hex
RAL 060 30 20,Peat Brown,#5A3D29,28.57,10.09,17.38,hex
RAL 060 30 27,Cassiterite Brown,#623C1F,29.23,13.63,24.55,hex
RAL 060 40 05,Zinc Grey,#655B55,39.42,2.90,4.92,hex
RAL 060 40 10,Moor Oak Grey,#6A584D,38.86,5.50,9.13,hex
RAL 060 40 20,Coffee Bean Brown,#765640,39.37,10.22,17.99,hex
RAL 060 40 30,Brazilian Brown,#7F5131,38.93,15.79,26.55,hex
RAL 060 40 40,Plane Brown,#8A5024,40.03,20.45,35.38,hex
RAL 060 50 05,Chinchilla Grey,#7F746E,49.65,3.15,4.85,hex
RAL 060 50 10,Sandstone Grey,#857266,49.47,5.39,9.39,hex
RAL 060 50 20,Mushroom Brown,#906E58,49.24,10.34,17.47,hex
RAL 060 50 30,Mustard Brown,#9D6C4A,49.96,15.54,26.78,hex
RAL 060 50 40,Camel Brown,#A56639,49.25,21.05,35.56,hex
RAL 060 50 50,Date Fruit Brown,#AF642B,49.98,25.69,43.89,hex
RAL 060 50 60,Elm Brown Red,#B25B09,48.22,30.89,54.91,hex
RAL 060 50 70,Dry Clay,#BD5C00,50.07,34.79,58.95,hex
RAL 060 60 05,Screed Grey,#9A908A,60.47,2.62,4.51,hex
RAL 060 60 10,Oak Brown,#A18D80,60.06,5.33,9.69,hex
RAL 060 60 20,Light Topaz Ochre,#B08971,60.17,11.46,18.57,hex
RAL 060 60 30,Cognac Brown,#B98563,59.88,15.79,26.20,hex
RAL 060 60 40,Maple Syrup Brown,#C88554,61.39,20.68,36.66,hex
RAL 060 60 50,Turmeric Red,#CA7A40,58.83,26.16,44.11,hex
RAL 060 60 60,Bitter Orange,#D5762B,59.23,31.89,54.72,hex
RAL 060 60 70,Gold Orange,#DB7210,59.10,35.79,63.74,hex
RAL 060 60 80,Accent Orange,#E56D00,59.53,42.11,67.62,hex
RAL 060 70 05,Cement Greige,#B5ABA4,70.62,2.35,4.88,hex
RAL 060 70 10,Putty Grey,#BDA89C,70.33,5.63,8.98,hex
RAL 060 70 20,Peanutbutter,#C8A38A,69.69,9.98,18.13,hex
RAL 060 70 30,Peach Yellow,#D19C79,68.54,15.32,26.03,hex
RAL 060 70 40,Candle Yellow,#E09B6E,69.77,20.82,33.87,hex
RAL 060 70 50,Topaz Yellow,#EB975E,69.90,26.11,42.71,hex
RAL 060 70 60,Melon Orange,#F08F48,68.49,31.01,52.20,hex
RAL 060 70 70,Indian Yellow,#FC8C35,69.27,36.56,61.90,hex
RAL 060 80 05,Light Chamois Beige,#D1C6BE,80.55,2.46,5.38,hex
RAL 060 80 10,Soft Greige,#D7C3B5,80.08,4.75,9.59,hex
RAL 060 80 20,Biscuit Beige,#E6BFA6,80.09,10.28,17.83,hex
RAL 060 80 30,Mild Orange,#F4BA94,79.89,16.10,27.37,hex
RAL 060 80 40,Apricot Orange,#FDB482,79.12,20.95,35.99,hex
RAL 060 85 05,Champagne Rose,#E3D6CC,86.40,2.79,6.53,hex
RAL 060 85 10,Cornmeal Beige,#EBD5C5,86.64,5.05,10.67,hex
RAL 060 85 20,Dough Yellow,#F6D0B6,86.05,9.52,17.88,hex
RAL 060 85 30,Light Saffron Orange,#FFCCA5,85.59,12.85,26.30,hex
RAL 060 90 05,Grain White,#EFE3D8,90.89,2.23,6.82,hex
RAL 060 90 10,Vanilla Cream,#F7E0D2,90.66,5.65,9.71,hex
RAL 060 90 15,Apricot Cream,#FDDCC8,89.97,8.38,14.03,hex
RAL 060 93 05,Wool White,#F9EDE4,94.44,2.54,5.80,hex
RAL 070 30 10,Mineral Brown,#4D3F33,27.77,3.98,9.64,hex
RAL 070 30 20,Beech Brown,#574128,29.31,6.01,18.88,hex
RAL 070 40 10,Mink Brown,#67594C,38.81,3.43,9.63,hex
RAL 070 40 20,Huckleberry Brown,#71563B,38.70,7.37,19.99,hex
RAL 070 40 30,Arable Brown,#7A552E,39.30,10.86,28.55,hex
RAL 070 40 40,Autumn Gold,#80521A,39.07,14.21,38.83,hex
RAL 070 50 10,Saruk Grey,#817265,49.06,3.59,9.34,hex
RAL 070 50 20,Ash Gold,#8C6F54,48.99,7.54,19.39,hex
RAL 070 50 40,Antique Gold,#9D692F,48.86,15.19,40.03,hex
RAL 070 50 50,Stage Gold,#9E6928,48.92,15.26,43.50,hex
RAL 070 50 55,Theatre Gold,#A76924,50.04,19.11,46.78,hex
RAL 070 60 10,Light Mahogany,#9B8B7C,58.87,3.46,10.21,hex
RAL 070 60 20,Dark Blond,#A68A6E,59.35,6.42,18.98,hex
RAL 070 60 30,Light Oak Brown,#AF855C,58.66,10.87,28.28,hex
RAL 070 60 40,Grain Brown,#B88349,58.89,14.16,38.99,hex
RAL 070 60 50,Mud Yellow,#C18136,59.26,17.97,49.05,hex
RAL 070 60 60,Mustard Yellow,#CB812D,60.42,21.88,54.54,hex
RAL 070 60 70,Seabuckthorn Yellow Brown,#CD7B00,59.11,25.03,65.66,hex
RAL 070 60 75,Autumn Leaf Orange,#D07A04,59.29,26.89,65.29,hex
RAL 070 70 10,Ginger Grey Yellow,#B8A899,69.82,3.27,9.84,hex
RAL 070 70 20,Light Ash Brown,#C2A487,69.31,6.67,19.16,hex
RAL 070 70 30,Golden Beige,#CEA277,69.68,10.63,28.56,hex
RAL 070 70 40,Dechant Pear Yellow,#D79E62,69.32,14.47,39.41,hex
RAL 070 70 50,Honeycomb Yellow,#DE9C52,69.41,17.28,47.80,hex
RAL 070 70 60,Gorse Yellow Orange,#E99A3C,70.01,21.77,58.91,hex
RAL 070 70 70,Naples Yellow,#EB931F,68.48,25.38,67.96,hex
RAL 070 70 80,Saffron Gold,#F08F00,68.15,29.17,73.66,hex
RAL 070 80 10,Flax Beige,#D4C3B3,79.77,3.34,10.20,hex
RAL 070 80 20,Buttercup Yellow,#E3C2A3,80.49,7.15,19.95,hex
RAL 070 80 30,Golden Oat Coloured,#ECBE91,80.01,10.53,28.97,hex
RAL 070 80 40,Apricot Yellow,#F7BD81,80.60,13.76,38.29,hex
RAL 070 80 50,Warm Apricot,#FFB86B,79.96,17.76,48.77,hex
RAL 070 80 60,Golden Rain Yellow,#FFB657,79.28,17.51,57.50,hex
RAL 070 85 05,Almond Beige,#DFD5CA,85.78,1.56,6.66,hex
RAL 070 85 10,Silver Thistle Beige,#E7D5C5,86.31,3.61,10.15,hex
RAL 070 85 20,Sandalwood Beige,#F2D1B1,85.83,6.84,20.15,hex
RAL 070 85 30,Hair Blonde,#FDCFA1,86.05,10.06,28.98,hex
RAL 070 90 05,Off White,#EDE4D9,91.01,1.19,6.45,hex
RAL 070 90 10,Light Corn,#F3E2D1,90.80,3.04,10.40,hex
RAL 070 90 20,Chalk Yellow,#FFDEBE,90.42,6.69,19.91,hex
RAL 070 93 05,Anemone White,#F9EFE4,94.94,1.52,6.51,hex
RAL 075 40 10,Tree Bark Brown,#665B4E,39.34,2.11,9.13,hex
RAL 075 40 20,Caraway Brown,#6D563C,38.26,5.66,18.74,hex
RAL 075 40 30,Bark Brown,#73532A,37.84,8.46,28.86,hex
RAL 075 40 38,Lizard Brown,#795419,38.68,9.65,38.60,hex
RAL 075 50 10,Rye Dough Brown,#807365,49.24,2.59,9.59,hex
RAL 075 50 20,China Cinnamon,#8A7054,49.05,6.10,19.43,hex
RAL 075 50 30,Grog Yellow,#937043,49.74,8.19,30.17,hex
RAL 075 50 40,Amber Brown,#9A6C31,49.28,12.24,39.38,hex
RAL 075 50 50,Cinnamon Brown,#9E6A19,49.07,14.09,49.81,hex
RAL 075 50 58,Cumin Ochre,#A06600,48.23,16.77,55.75,hex
RAL 075 60 10,Putty Yellow,#9D8E7F,59.93,3.04,10.03,hex
RAL 075 60 20,Walnut Shell Brown,#A68B6E,59.62,5.86,19.34,hex
RAL 075 60 30,Clay Ochre,#AE895D,59.60,8.32,28.92,hex
RAL 075 60 40,Funchal Yellow,#B6884D,59.97,10.83,38.14,hex
RAL 075 60 50,Mango Brown,#BB8434,59.27,13.59,49.75,hex
RAL 075 60 60,Turmeric Brown,#C18116,59.07,16.84,60.74,hex
RAL 075 60 70,Bamboo Brown,#C87F00,59.40,20.69,65.53,hex
RAL 075 70 10,Flax Fibre Grey,#B7A99A,70.02,2.51,9.56,hex
RAL 075 70 20,Light Pumpkin Brown,#C2A585,69.52,5.87,20.55,hex
RAL 075 70 30,Golden Thistle Yellow,#CAA375,69.50,8.25,29.32,hex
RAL 075 70 40,Brick Yellow,#D2A161,69.51,10.69,40.05,hex
RAL 075 70 50,Deep Bamboo Yellow,#D99F50,69.56,13.43,48.79,hex
RAL 075 70 60,Intense Yellow,#E19C35,69.50,17.03,60.94,hex
RAL 075 70 70,Pumpkin Yellow,#E99A10,69.81,20.58,72.18,hex
RAL 075 70 80,Autumn Yellow,#E99700,69.08,22.01,73.84,hex
RAL 075 80 10,Chalk Beige,#D6C5B4,80.47,3.17,10.68,hex
RAL 075 80 20,Light Corn Yellow,#E0C3A2,80.45,5.35,20.39,hex
RAL 075 80 30,Dark Yellow,#E7BF8E,79.73,7.70,30.09,hex
RAL 075 80 40,Ash Yellow,#F0BD7E,79.86,10.68,38.73,hex
