id,product_id,carrier_resin,material_form,appearance_colour,hardness,moisture_content,antioxidant_content,ash_content,specific_gravity,bulk_density,caco3_content,tio2_percentage,mfr,weather_fastness,light_fastness,colour_migration,dispersion,melting_temperature,heat_stability,toxicity,spec_compliance,higher_olefin_constituent,cbc,carbon_type,volatile_matter_content,toluene_extract,let_down_ratio,ral_pantone_ci
173,UD10028,11,,12,,,,,,,,,,,,,,,,,,,,,,,,
174,UD10027,11,,12,,,,,,,,,,,,,,,,,,,,,,,,
175,UD10028,11,,12,,,,,,,,,,,,,,,,,,,,,,,,
176,UD10027,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,86002,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,20015,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,20017,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,41001,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,91001,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,UD10029,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,UD10030,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,30028,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,85008,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,80009,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,80010,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,60017,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,60019,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,20018,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,20019,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,64002,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,60038,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,MT4003,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,40004,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,60021,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,40005,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,85011,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,85013,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,64001,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,90008,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,90009,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,20023,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,30031,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,40006,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,64001,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,60120,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,61511,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,91507,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,80011,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,64002,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,31505,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,16001,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,16002,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,UD10032,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,UD10033,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,51001,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,40007,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,60022,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,90011,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,10004,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,30032,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,64001,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,30033,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,30034,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,60023,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,60024,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,40008,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,60026,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,60027,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,80012,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,60029,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,15006,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,15007,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,60032,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,60033,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,60035,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,15008,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,61003,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,91003,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,61521,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,40010,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,15009,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,15010,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,70003,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,30035,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,60037,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,40012,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,41003,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,ADV151,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,50177,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,24001,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,14002,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,41002,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,20227N,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,12402,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,31003,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,86531,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,24001,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,61224,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,40013,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,40015,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,86015,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,70006,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,50132,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,86017,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,12401,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,41002,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,51002,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,16001,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,72601,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,14004,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,86402,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,10005,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,10046,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,14019N,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,32601,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,61002,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,12403,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,89012,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,86541,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,34003,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,34005,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,89001,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,UD10031,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,85011,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,89002,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,64002,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,19001,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,20110,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,20110,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,70007,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,50005,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,20020,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,61510,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,51506,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,31004,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,81302,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,40016,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,20025,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,20022,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,60196,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,63501,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,50004,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,10003,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,10142,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,64001,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,40011,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,90010,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,20210N,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,85014,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,40009,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,44001,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,20021,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,32001,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,34004,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,44002,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,44003,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,94001,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,94002,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,80020A,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,34002,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,UD10027,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,UD10031,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,90008,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,15007,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,34006,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,40017,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,UD10031,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,16003,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,91004,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,20018,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,41003,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,51001,,,,,,,,,,,,,,,,,,,,,,,,,,,
