id,name,selling_price,remark,date_updated,alphacode,slf_no,ral_shade,pantone_shade,is_final_good
71502,ORANGE,4698.03,,2025-03-25,"['CORCSO', 'CORCSF', 'CORCSM', 'CORCWO', 'CORCWF', 'CORCWM', 'CORCOO']",,,,False
71504,ORANGE,5178.03,,2025-03-25,"['CORCSO', 'CORCSF', 'CORCSM', 'CORCWO', 'CORCWF', 'CORCWM', 'CORCOO']",,,,False
71522,ORANGE,1854.5,,2025-03-25,"['CORLSO', 'CORLSF', 'CORLSM', 'CORLWO', 'CORLWF', 'CORLWM', 'CORLOO']",,,,False
71575,ORANGE,5166.11,,2025-03-25,"['CORCSO', 'CORCSF', 'CORCSM', 'CORCWO', 'CORCWF', 'CORCWM', 'CORCOO']",,,,False
81001,VIOLET,8102.5,,2025-03-25,"['CVLCSO', 'CVLCSF', 'CVLCSM', 'CVLCWO', 'CVLCWF', 'CVLCWM', 'CVLCOO']",,,,False
81013,VIOLET,7655.5,,2025-03-25,"['CVLCSO', 'CVLCSF', 'CVLCSM', 'CVLCWO', 'CVLCWF', 'CVLCWM', 'CVLCOO']",,,,False
81018,VIOLET,4358.39,,2025-03-25,"['CVLHSO', 'CVLHSF', 'CVLHSM', 'CVLHWO', 'CVLHWF', 'CVLHWM', 'CVLHOO']",,,,False
81019,VIOLET,4356.39,,2025-03-25,"['CVLHSO', 'CVLHSF', 'CVLHSM', 'CVLHWO', 'CVLHWF', 'CVLHWM', 'CVLHOO']",,,,False
81020,VIOLET,4358.39,,2025-03-25,"['CVLHSO', 'CVLHSF', 'CVLHSM', 'CVLHWO', 'CVLHWF', 'CVLHWM', 'CVLHOO']",,,,False
81021,VIOLET,2040.39,,2025-03-25,"['CVLHSO', 'CVLHSF', 'CVLHSM', 'CVLHWO', 'CVLHWF', 'CVLHWM', 'CVLHOO']",,,,False
81026,VIOLET,4343.39,,2025-03-25,"['CVLHSO', 'CVLHSF', 'CVLHSM', 'CVLHWO', 'CVLHWF', 'CVLHWM', 'CVLHOO']",,,,False
81028,VIOLET,4292.39,,2025-03-25,"['CVLHSO', 'CVLHSF', 'CVLHSM', 'CVLHWO', 'CVLHWF', 'CVLHWM', 'CVLHOO']",,,,False
81030,VIOLET,1984.11,,2025-03-25,"['CVLCSO', 'CVLCSF', 'CVLCSM', 'CVLCWO', 'CVLCWF', 'CVLCWM', 'CVLCOO']",,,,False
81303,VIOLET,4877.39,,2025-03-25,"['CVLHSO', 'CVLHSF', 'CVLHSM', 'CVLHWO', 'CVLHWF', 'CVLHWM', 'CVLHOO']",,,,False
81304,VIOLET,4722.39,,2025-03-25,"['CVLHSO', 'CVLHSF', 'CVLHSM', 'CVLHWO', 'CVLHWF', 'CVLHWM', 'CVLHOO']",,,,False
81306,VIOLET,5392.39,,2025-03-25,"['CVLHSO', 'CVLHSF', 'CVLHSM', 'CVLHWO', 'CVLHWF', 'CVLHWM', 'CVLHOO']",,,,False
81501,VIOLET,8132.11,,2025-03-25,"['CVLCSO', 'CVLCSF', 'CVLCSM', 'CVLCWO', 'CVLCWF', 'CVLCWM', 'CVLCOO']",,,,False
81502,VIOLET,10268.03,,2025-03-25,"['CVLCSO', 'CVLCSF', 'CVLCSM', 'CVLCWO', 'CVLCWF', 'CVLCWM', 'CVLCOO']",,,,False
81503,VIOLET,6901.11,,2025-03-25,"['CVLCSO', 'CVLCSF', 'CVLCSM', 'CVLCWO', 'CVLCWF', 'CVLCWM', 'CVLCOO']",,,,False
81504,VIOLET,4748.03,,2025-03-25,"['CVLCSO', 'CVLCSF', 'CVLCSM', 'CVLCWO', 'CVLCWF', 'CVLCWM', 'CVLCOO']",,,,False
81507,VIOLET,3596.11,,2025-03-25,"['CVLCSO', 'CVLCSF', 'CVLCSM', 'CVLCWO', 'CVLCWF', 'CVLCWM', 'CVLCOO']",,,,False
81508,VIOLET,7841.11,,2025-03-25,"['CVLCSO', 'CVLCSF', 'CVLCSM', 'CVLCWO', 'CVLCWF', 'CVLCWM', 'CVLCOO']",,,,False
81509,VIOLET,4146.11,,2025-03-25,"['CVLCSO', 'CVLCSF', 'CVLCSM', 'CVLCWO', 'CVLCWF', 'CVLCWM', 'CVLCOO']",,,,False
86014,PINK,1699.5,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86201,PINK,1619.5,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86203,PINK,6574.5,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86204,PINK,2439.5,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86205,PINK,2902.39,,2025-03-25,"['CPKHSO', 'CPKHSF', 'CPKHSM', 'CPKHWO', 'CPKHWF', 'CPKHWM', 'CPKHOO']",,,,False
86206,PINK,4852.39,,2025-03-25,"['CPKHSO', 'CPKHSF', 'CPKHSM', 'CPKHWO', 'CPKHWF', 'CPKHWM', 'CPKHOO']",,,,False
86209,PINK,6699.5,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86212,PINK,822.39,,2025-03-25,"['CPKHSO', 'CPKHSF', 'CPKHSM', 'CPKHWO', 'CPKHWF', 'CPKHWM', 'CPKHOO']",,,,False
86213,PINK,2197.39,,2025-03-25,"['CPKHSO', 'CPKHSF', 'CPKHSM', 'CPKHWO', 'CPKHWF', 'CPKHWM', 'CPKHOO']",,,,False
86214,PINK,4972.39,,2025-03-25,"['CPKHSO', 'CPKHSF', 'CPKHSM', 'CPKHWO', 'CPKHWF', 'CPKHWM', 'CPKHOO']",,,,False
86215,PINK,5002.39,,2025-03-25,"['CPKHSO', 'CPKHSF', 'CPKHSM', 'CPKHWO', 'CPKHWF', 'CPKHWM', 'CPKHOO']",,,,False
86216,PINK,5470.0,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86217,PINK,2094.5,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86219,PINK,1319.5,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86220,PINK,3769.5,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86221,PINK,4869.5,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86222,PINK,4331.0,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86301,PINK,1316.11,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86584,PINK,7689.5,,2026-03-19,"['CPKCOO', 'CPKCSF', 'CPKCSM', 'CPKCSO', 'CPKCWF', 'CPKCWM', 'CPKCWO']",,,,False
86417,PINK,2197.39,,2025-03-25,"['CPKHSO', 'CPKHSF', 'CPKHSM', 'CPKHWO', 'CPKHWF', 'CPKHWM', 'CPKHOO']",,,,False
86419,PINK,5004.5,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86421,PINK,1695.0,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86515,PINK,5747.39,,2025-03-25,"['CPKHSO', 'CPKHSF', 'CPKHSM', 'CPKHWO', 'CPKHWF', 'CPKHWM', 'CPKHOO']",,,,False
86518,PINK,2586.11,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
86519,PINK,4866.11,,2025-03-25,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",,,,False
91006,BROWN,2197.39,,2025-03-25,"['CBWHSO', 'CBWHSF', 'CBWHSM', 'CBWHWO', 'CBWHWF', 'CBWHWM', 'CBWHOO']",,,,False
91007,BROWN,2517.39,,2025-03-25,"['CBWHSO', 'CBWHSF', 'CBWHSM', 'CBWHWO', 'CBWHWF', 'CBWHWM', 'CBWHOO']",,,,False
91020,BROWN,1194.5,,2025-03-25,"['CBWLSO', 'CBWLSF', 'CBWLSM', 'CBWLWO', 'CBWLWF', 'CBWLWM', 'CBWLOO']",,,,False
91034,BROWN,1194.5,,2025-03-25,"['CBWLSO', 'CBWLSF', 'CBWLSM', 'CBWLWO', 'CBWLWF', 'CBWLWM', 'CBWLOO']",,,,False
91042,BROWN,1194.5,,2025-03-25,"['CBWLSO', 'CBWLSF', 'CBWLSM', 'CBWLWO', 'CBWLWF', 'CBWLWM', 'CBWLOO']",,,,False
91045,BROWN,1482.5,,2025-03-25,"['CBWLSO', 'CBWLSF', 'CBWLSM', 'CBWLWO', 'CBWLWF', 'CBWLWM', 'CBWLOO']",,,,False
91046,BROWN,1194.5,,2025-03-25,"['CBWLSO', 'CBWLSF', 'CBWLSM', 'CBWLWO', 'CBWLWF', 'CBWLWM', 'CBWLOO']",,,,False
91047,BROWN,1484.5,,2025-03-25,"['CBWLSO', 'CBWLSF', 'CBWLSM', 'CBWLWO', 'CBWLWF', 'CBWLWM', 'CBWLOO']",,,,False
81302,VIOLET,6887.39,,2025-10-30,"['CVLHOO', 'CVLHSF', 'CVLHSM', 'CVLHSO', 'CVLHWF', 'CVLHWM', 'CVLHWO']",,,,False
86516,PINK,5461.89,,2025-11-21,"['CPKHOO', 'CPKHSF', 'CPKHSM', 'CPKHSO', 'CPKHWF', 'CPKHWM', 'CPKHWO']",,,,False
91050,BROWN,1662.39,,2025-03-25,"['CBWHSO', 'CBWHSF', 'CBWHSM', 'CBWHWO', 'CBWHWF', 'CBWHWM', 'CBWHOO']",,,,False
91052,BROWN,1679.5,,2025-03-25,"['CBWCSO', 'CBWCSF', 'CBWCSM', 'CBWCWO', 'CBWCWF', 'CBWCWM', 'CBWCOO']",,,,False
91055,BROWN,2592.39,,2025-03-25,"['CBWHSO', 'CBWHSF', 'CBWHSM', 'CBWHWO', 'CBWHWF', 'CBWHWM', 'CBWHOO']",,,,False
91056,BROWN,2592.39,,2025-03-25,"['CBWHSO', 'CBWHSF', 'CBWHSM', 'CBWHWO', 'CBWHWF', 'CBWHWM', 'CBWHOO']",,,,False
91057,BROWN,2214.5,,2025-03-25,"['CBWCSO', 'CBWCSF', 'CBWCSM', 'CBWCWO', 'CBWCWF', 'CBWCWM', 'CBWCOO']",,,,False
91058,BROWN,4589.5,,2025-03-25,"['CBWCSO', 'CBWCSF', 'CBWCSM', 'CBWCWO', 'CBWCWF', 'CBWCWM', 'CBWCOO']",,,,False
